거래일시,출금계좌,출금주,입금계좌,입금주,금액(원),유형,메모
2026-05-02 10:12,110-357-889001,C-961,352-889-102233,(주)브릿지상사,480000000,계좌이체,수입대금
2026-05-02 14:40,352-889-102233,(주)브릿지상사,external-HK-8821,HK NOMINEE LTD,475000000,해외송금,중계
2026-05-09 09:30,110-357-889001,C-961,352-889-102233,(주)브릿지상사,490000000,계좌이체,수입대금
2026-05-09 16:05,352-889-102233,(주)브릿지상사,external-HK-8821,HK NOMINEE LTD,486000000,해외송금,중계
2026-05-16 11:22,110-357-889001,C-961,110-224-556677,김중개,49000000,계좌이체,수수료
2026-05-16 18:44,110-224-556677,김중개,ATM,현금출금,48000000,현금출금,
2026-06-01 10:02,110-357-889001,C-961,352-889-102233,(주)브릿지상사,510000000,계좌이체,수입대금
2026-06-01 15:31,352-889-102233,(주)브릿지상사,virtual-XCH-771,코인거래소 가상계좌,505000000,가상계좌이체,
2026-06-08 09:12,virtual-XCH-771,코인거래소 가상계좌,external-SG-1102,SG DIGITAL PTE,503000000,가상자산출금,USDT
2026-06-20 13:50,110-357-889001,C-961,110-224-556677,김중개,51000000,계좌이체,수수료
